scenario,prompt
운전 중,"A man driving with the cushion supporting his arms, daytime, realistic"
운전 중,"A woman driving with the cushion under her arms, sunset lighting, photorealistic"
운전 중,"A man driving at night, cushion supporting his arms, city lights background"
운전 중,"A woman driving in a countryside road, cushion under her arms, sunny day"
운전 중,"A person driving in rain, cushion visible, close-up shot"
스마트폰 사용,"A man sitting on a sofa, using a smartphone with the cushion under his arms, cozy home interior"
스마트폰 사용,"A woman reclining on a sofa, smartphone in hand, cushion supporting her arms"
스마트폰 사용,"A teenager gaming on a phone with cushion under arms, bedroom background"
스마트폰 사용,"A person video-calling on a smartphone, cushion supporting arms, modern living room"
스마트폰 사용,"A person holding a tablet with the cushion, relaxed posture, soft lighting"
사무실,"A person working on a laptop at a desk, cushion supporting their arms, modern office"
사무실,"A person typing on a keyboard with the cushion under arms, corporate environment"
사무실,"A person in a meeting room, using the cushion while working on a laptop"
사무실,"An engineer at a workstation, cushion under arms, focused expression"
사무실,A creative worker sketching ideas on a tablet with cushion under arms
집에서 독서,"A woman reading a book at home, cushion supporting her arms, relaxed evening"
집에서 독서,"A man sitting by the window reading, cushion under arms, natural light"
카페,"A person working on a laptop in a cafe, cushion supporting arms, coffee cup beside"
카페,"A woman reading on a tablet at a cafe, cushion visible, casual outfit"
카페,"A group of friends in a cafe, one using the cushion while texting on a phone"
